index,x,y,z
26,"[1.22876, -0.388916, -0.8127441, -0.8127441, 0.01660156, -0.5830078, -0.7294922, 0.04394531, 0.7416992, -0.8510742, -0.4477539, 0.7067871, -0.9614258, -0.6188965, -0.5751953, 0.190918, -0.7924805, -0.2429199, 0.1064453, 0.2285156, 0.9387207, 1.000732, 1.106445]","[-0.04614258, -1.984375, -0.4174805, -0.5070801, -0.6411133, -0.5930176, -0.5578613, -0.704834, -0.7470703, -0.5197754, -0.5773926, -0.8806152, -1.984375, -0.4919434, -0.5219727, -0.6584473, -0.4404297, -0.6428223, -1.298828, -0.4501953, -0.203125, -0.1962891, -0.03881836]","[-0.309082, 0.9499512, -1.074219, -1.129395, -0.5991211, -0.7209473, -0.8791504, -0.5517578, -0.4316406, -1.066162, -0.791748, -0.326416, -1.010742, -0.8149414, -0.8010254, -1.046143, -0.8537598, -0.795166, -0.6806641, -0.3618164, -0.3540039, -0.1098633, -0.01220703]"

27,"[0.46875, 0.08813477, 0.8659668, 0.03393555, -0.2353516, 0.7895508, 0.4558105, -0.4587402, -0.5148926, 0.9575195, 1.999939, -0.6879883, -0.328125, -0.6687012, -0.2333984, 0.3483887, 1.999939, -0.6049805, 0.137207, 1.122803, 1.094727, 1.11084]","[-0.3022461, -0.730957, -0.5187988, -0.6401367, -0.7382813, -1.103027, -1.406494, -0.5458984, -0.6152344, -0.9157715, 1.999939, -0.5058594, -0.6828613, -0.5314941, -0.6975098, -0.7875977, -1.11499, -0.5109863, -0.7033691, -0.4206543, -0.1118164, -0.03613281]","[-0.5820313, -0.5549316, -0.5314941, -0.8669434, -0.5795898, -0.1196289, -0.5805664, -0.954834, -0.8994141, 0.02807617, -1.984375, -0.9458008, -0.6520996, -0.9291992, -0.5505371, -0.3256836, 1.999939, -0.8295898, -0.473877, -0.5473633, -0.2578125, 0.007568359]"

28,"[0.8271484, 0.6350098, -0.6274414, 0.3178711, 0.2143555, -0.4855957, -0.7504883, 0.1030273, 0.8625488, 1.999939, 0.5905762, -0.5476074, -0.6369629, 0.1894531, -0.4370117, -0.526123, 0.2021484, 0.8569336, 0.7597656, 0.9755859, 1.158936]","[-0.2929688, -0.7446289, -0.6269531, -0.7060547, -0.5378418, -0.5302734, -0.4499512, -0.6943359, -0.5727539, -1.984375, -0.7375488, -0.447998, -0.517334, -0.7541504, -0.3937988, -0.5292969, -0.7160645, -0.465332, -0.390625, -0.159668, -0.1137695]","[-0.6325684, -0.5742188, -0.828125, -0.5456543, -0.7365723, -0.8769531, -0.9226074, -0.6831055, -0.486084, -0.2873535, -0.2775879, -0.9152832, -1.02832, -0.5178223, -0.7436523, -0.9570313, -0.5358887, -0.1916504, -0.828125, -0.1245117, 0.01293945]"

29,"[0.8754883, -0.7150879, 0.7385254, -0.159668, -0.9038086, -0.0769043, 0.9233398, -0.1103516, 0.6948242, 1.999939, -0.4819336, 0.4506836, 0.6140137, -0.02978516, 1.216797, 1.147461, 1.297119, 1.063965, 1.110596]","[-1.984375, -0.4509277, -0.3039551, -0.5749512, -0.454834, -0.7299805, -0.6733398, -0.5466309, -1.197266, -0.5888672, -0.4101563, -0.7495117, -0.5559082, -0.7294922, -0.3242188, -0.07446289, -0.3881836, -0.09790039, -0.03344727]","[1.837646, -1.012939, -0.6647949, -0.9125977, -0.8408203, -0.619873, -0.4455566, -0.8974609, -0.1894531, 1.999939, -1.037598, -0.4780273, -0.6398926, -0.4296875, -0.421875, -0.07641602, 0.7719727, -0.03881836, 0.01171875]"

30,"[0.5549316, 1.191162, -0.5053711, 0.09912109, -0.4462891, -0.4611816, 0.6447754, 0.5646973, -0.2944336, 0.6943359, -0.1330566, -0.4467773, 0.1293945, 0.9233398, 1.301758, 1.101318]","[-0.2648926, -0.6420898, -0.4770508, -0.578125, -0.3952637, -0.4609375, -0.6557617, -0.5136719, -0.3808594, -0.484375, -0.4108887, -0.3579102, -0.5319824, -0.2556152, -0.0871582, -0.04492188]","[-0.3859863, -0.2485352, -0.838623, -0.8244629, -0.760498, -0.8527832, -0.4748535, -1.063965, -0.9912109, -0.8144531, -0.8601074, -1.113525, -0.7661133, -0.4875488, -0.1071777, -0.007324219]"

31,"[0.1933594, -0.3305664, 0.6503906, 0.4433594, -0.409668, 0.5856934, 0.4411621, 0.2241211, -0.05224609, -0.1799316, 1.23584]","[-0.5012207, -0.5437012, -0.9870605, -0.7336426, -0.6491699, -0.9226074, -0.7001953, -0.8547363, -0.572998, -0.5102539, -0.5219727]","[-0.2937012, -0.6208496, -0.6367188, -1.01123, -0.8674316, -0.6572266, -0.5725098, -0.6862793, -0.8198242, -0.7211914, -0.442627]"

32,"[-0.1774902, -0.888916, -0.2119141, 0.8674316, 0.7529297, -0.4978027, 0.829834, 0.0534668, -0.277832, -0.06298828, 0.1296387, -0.1643066, 0.607666, 1.261719, 0.3278809, 1.282227, 1.093018]","[-0.4753418, -0.4873047, -0.7285156, -1.009277, -0.668457, -0.470459, -0.7658691, -1.570313, -0.5600586, -0.5598145, -0.765625, -0.642334, -0.9248047, -1.96167, -0.8376465, -0.3679199, -0.03930664]","[-0.4570313, -0.9604492, -0.5439453, -0.2304688, -0.1096191, -0.8703613, -0.3669434, -0.5717773, -0.8647461, -0.8806152, -0.4528809, -0.6989746, -0.8757324, 1.999939, -0.5029297, -0.6911621, -0.01416016]"

33,"[-0.03369141, 0.8540039, 0.8261719, -0.6542969, -1.155273, -0.1867676, 1.999939, -0.7473145, -0.7243652, 0.1450195, 0.8085938, -0.4423828, -0.01855469, 0.8352051, 0.7324219, -0.3515625, -0.3659668, 0.4257813, 0.9758301, 1.999939, 1.266602, 1.268311, 1.122314]","[-0.4450684, -0.7910156, -1.005615, -0.4238281, -0.4321289, -0.6245117, 1.999939, -0.4650879, -0.5939941, -0.6484375, -1.083496, -0.6870117, -0.6984863, -1.146973, -1.515625, -0.619873, -0.6567383, -0.7773438, -0.6992188, -1.758057, -0.4453125, -0.2060547, -0.03833008]","[-0.265625, -0.3034668, -0.2512207, -0.9575195, -0.9177246, -0.8205566, -1.014404, -0.9941406, -0.8105469, -0.6125488, -0.2478027, -0.7993164, -0.6799316, -0.1762695, -0.8212891, -0.645752, -0.7783203, -0.515625, -0.5397949, 1.999939, -0.5024414, -0.1213379, 0.008789063]"

34,"[0.5131836, -0.2150879, -0.2832031, 0.8911133, -0.4455566, -0.626709, 0.06591797, 0.8105469, 0.08276367, -0.6564941, -0.2033691, 0.2790527, -0.7102051, -0.5163574, 0.1166992, 0.1357422, -0.6750488, -0.1323242, 0.8505859, 0.4086914, 0.5148926, 1.333496, 1.999939, 1.0979]","[-0.5334473, -0.5864258, -0.7414551, -0.654541, -1.984375, -0.5095215, -0.6594238, -0.4833984, -0.6809082, -0.5517578, -0.682373, -1.682617, -0.5007324, -0.6086426, -0.7370605, -0.7766113, -0.4658203, -0.666748, -0.8178711, -1.148438, -0.5551758, -0.2001953, 1.594482, -0.04174805]","[-0.5737305, -0.9174805, -0.736084, -0.4284668, 0.4384766, -0.9362793, -0.6247559, -0.8527832, -0.7905273, -0.9321289, -0.7460938, -1.271729, -0.9445801, -0.8935547, -0.6196289, -0.9846191, -0.9675293, -0.7402344, -0.2685547, -1.11084, -0.7929688, -0.07373047, 1.830566, 0.001708984]"

35,"[0.3823242, -0.09960938, -0.701416, 0.03222656, -0.423584, -0.4753418, -0.614502, -0.6396484, -0.6618652, -0.1069336, 0.8269043, 1.112549]","[-0.4101563, -0.5581055, -0.5119629, -0.8876953, -0.4758301, -0.5776367, -1.858398, -0.4465332, -0.5151367, -0.697998, -0.8564453, -0.03662109]","[-0.5100098, -0.8491211, -0.8798828, -0.8183594, -0.9042969, -0.8415527, -1.640625, -0.9387207, -0.9541016, -0.6152344, -0.3496094, -0.003662109]"

36,"[0.2133789, 0.5090332, -0.1179199, -0.684082, 0.0703125, 1.058105, 0.1660156, -0.5305176, 0.03686523, 0.791748, -0.4187012, 0.2084961, 0.3657227, -0.1804199, 0.6940918, 0.9907227, 1.121094]","[-0.4931641, -1.079102, -0.4509277, -0.5288086, -0.5793457, -0.8166504, -1.984375, -0.4599609, -0.637207, -0.7070313, -0.4807129, -0.5895996, 0.08129883, -0.409668, -0.5090332, -0.07080078, -0.01586914]","[-0.8503418, -0.1123047, -0.9912109, -0.920166, -0.8759766, -0.04858398, 1.999939, -1.010254, -0.7075195, -0.5400391, -0.9890137, -0.732666, -1.629639, -0.9228516, -0.7111816, -0.08496094, 0.0]"

37,"[0.6606445, 0.6738281, -0.1794434, -0.2089844, 0.579834, 0.6538086, 0.3659668, -0.3278809, -0.07128906, 0.7324219, 0.6569824, 0.4570313, -0.3366699, 0.1008301, 0.3820801, -0.2351074, 0.223877, 1.258301, 1.09375]","[-0.4606934, -0.1896973, -0.4812012, -0.4880371, -0.6213379, -0.4931641, -0.9243164, -0.4240723, -0.526123, -0.8637695, -0.5905762, -0.6049805, -0.4316406, -0.6123047, -0.3317871, -0.3879395, -0.3703613, -0.1530762, -0.07324219]","[-0.4345703, -1.127197, -0.9753418, -0.8688965, -0.6005859, -1.504883, -1.149658, -0.9440918, -0.888916, -0.5734863, -0.6594238, -1.077881, -0.9443359, -0.8881836, -0.770752, -0.8742676, -0.8395996, -0.3662109, -0.078125]"

38,"[1.439697, 0.668457, -0.5239258, 0.8354492, 1.033203, 1.078125, -0.2021484, 0.1047363, 0.815918, 0.7548828, -0.9194336, -0.4355469, 0.9943848, -1.152588, -0.07299805, 0.7585449, 1.130371]","[-0.00390625, -0.6704102, -0.4621582, -0.1972656, -0.05639648, -0.03637695, -0.2119141, -0.7143555, -0.8532715, -0.8056641, -0.3991699, -0.4626465, -0.8571777, -0.1826172, -0.5336914, -0.05834961, -0.04101563]","[-0.09545898, -0.6662598, -0.9533691, -0.1125488, -0.06860352, -0.06054688, -0.8154297, -0.5046387, -0.1879883, -0.7919922, -1.094238, -0.7805176, -0.1982422, -0.9782715, -0.7353516, -0.5471191, -0.1708984]"

39,"[0.5280762, 0.5375977, -0.543457, 0.2944336, 0.5102539, 0.0480957, -0.7868652, -0.007080078, 0.6921387, 0.2133789, 0.9536133, 0.07373047, -0.4599609, 0.5283203, 1.067871, 1.107422, 1.12085]","[-0.3874512, -0.1074219, -0.3833008, -0.6767578, -0.1938477, -0.4958496, -0.3303223, -0.6401367, -1.108643, -0.5495605, -0.3869629, -0.4921875, -0.3586426, -0.4758301, -0.1142578, -0.04174805, -0.03613281]","[-0.7346191, -0.8061523, -0.7736816, -0.760498, -0.6020508, -0.965332, -0.8916016, -0.6916504, -0.4306641, -0.638916, -0.4697266, -0.8708496, -1.062988, -0.7370605, -0.1787109, -0.01196289, -0.02148438]"

40,"[0.2995605, -0.4465332, -0.2954102, 0.5737305, 0.4780273, 0.03173828, -1.018066, 0.3691406, 0.8740234, 0.5625, 0.01757813, -0.7941895, -0.2336426, -0.1083984, 0.3203125, 1.234619, 1.17627, 1.999939, 1.114502]","[-0.7304688, -0.557373, -0.6052246, -0.6235352, -0.7116699, -0.4194336, -0.3276367, -0.6394043, -0.4387207, -0.5739746, -0.390625, -0.3491211, -0.5710449, -1.242676, -0.3217773, -0.07397461, -0.05639648, 0.588623, -0.04296875]","[-0.5393066, -0.8510742, -0.5861816, -0.5898438, -0.6303711, -0.9067383, -0.9775391, -0.5275879, -0.9650879, -0.9106445, -0.9577637, -0.9555664, -0.8305664, -1.508057, -0.6245117, -0.4702148, -0.04370117, 1.44165, -0.004394531]"

41,"[0.387207, 0.1994629, 0.2800293, 0.121582, -0.7419434, 0.04052734, 0.4516602, 0.7719727, 0.1618652, 0.5463867, -0.4033203, -0.2895508, 0.5441895, 0.8510742, 1.209961, 1.121094]","[-0.4331055, -0.6276855, -0.6210938, -0.6738281, -0.543457, -0.7106934, -0.7145996, -0.604248, -0.7683105, -1.079834, -0.4899902, -0.6118164, -0.5471191, -0.1689453, 0.03686523, -0.03735352]","[-0.5224609, -0.5996094, -0.9248047, -0.748291, -0.8972168, -0.6750488, -0.4938965, -0.5288086, -0.7705078, -0.5236816, -0.8950195, -0.9775391, -0.3989258, -0.6315918, -0.1098633, -0.003173828]"

42,"[0.5144043, 0.8081055, 0.02758789, 0.7124023, -0.1499023, 0.5383301, 1.105225, 1.08667, 0.1589355, 0.07275391, 0.2370605, -0.2077637, -0.6445313, -0.2077637, 0.01318359, 1.028564, 1.037354, 1.081299]","[-0.5878906, -0.4724121, -0.6054688, -0.9699707, -0.5405273, -0.6323242, -0.3181152, -0.01220703, -0.2590332, -0.519043, -1.227295, -0.4145508, -0.3327637, -0.4960938, -0.5756836, -0.3205566, -0.05371094, -0.06323242]","[-0.8398438, -0.7375488, -0.7722168, -0.3503418, -0.8674316, -0.5812988, -0.5400391, -0.05566406, -0.833252, -1.200684, -1.0271, -0.9733887, -1.070801, -0.8603516, -0.703125, -0.1928711, -0.03222656, 0.02490234]"

43,"[-1.984375, -0.3320313, 0.5063477, 0.7121582, -0.1403809, -0.3903809, 0.1418457, -1.068115, -0.340332, -0.2087402, -0.3496094, 0.1699219, 0.8532715, -0.480957, 0.05712891, 1.181885, 1.072021, 1.043457]","[-1.984375, -0.4851074, -0.7062988, -0.5385742, -0.5200195, -0.5622559, -0.6896973, -1.984375, -0.4719238, -0.6027832, -0.5253906, -0.6120605, -0.3339844, -0.4074707, -0.6618652, -0.3271484, -0.1584473, -0.1035156]","[-0.09887695, -0.8139648, -0.5437012, -0.4868164, -0.8950195, -0.947998, -0.6308594, 1.999939, -0.9401855, -0.7316895, -0.802002, -0.6828613, -0.7111816, -0.998291, -0.640625, -0.4228516, -0.1567383, -0.0847168]"

44,"[0.07666016, 0.7463379, 0.2285156, -0.6201172, -0.1069336, 0.715332, -0.6037598, -0.541748, 0.2297363, 0.9038086, -0.4365234, 0.1311035, 0.6125488, 0.2531738, -0.4274902, -0.527832, 0.3422852, 0.8452148, 0.9804688]","[-0.4812012, -0.9277344, -0.6806641, -0.5097656, -0.6416016, -0.8190918, -0.3317871, -0.5178223, -0.6611328, -0.2458496, -0.4492188, -0.6960449, -1.119141, -0.6037598, -0.3796387, -0.4350586, -0.6386719, -0.2480469, -0.1340332]","[-0.4506836, -0.5522461, -1.095703, -1.056885, -0.7470703, -0.4423828, -0.9973145, -0.953125, -0.5852051, -0.9475098, -0.9509277, -0.588623, -0.1027832, -1.927734, -1.05957, -0.9382324, -0.7299805, -0.7414551, -0.001464844]"

45,"[1.202637, 0.4082031, -0.3811035, 0.1669922, -0.8361816, -0.1262207, 0.7507324, 0.1696777, -0.588623, -0.1289063, 0.8537598, -0.5075684, -0.5869141, -0.1791992, -0.5026855, -0.5927734, 0.6694336, 0.4978027, 1.143799]","[-0.222168, -0.5251465, -0.6181641, -0.5690918, -0.3718262, -0.6550293, -1.081543, -0.5566406, -0.4284668, -0.6369629, -0.7485352, -1.300049, -0.3845215, -1.076904, -0.4265137, -0.4077148, -1.18335, -0.3955078, -0.01757813]","[-0.3044434, -0.7939453, -0.7451172, -0.8256836, -1.021484, -0.8120117, -0.3154297, -0.9775391, -1.064453, -0.668457, -0.4118652, -1.984375, -0.9191895, -1.322998, -0.9099121, -0.9711914, -0.4128418, -0.8928223, -0.06225586]"

46,"[0.3986816, 0.157959, -0.1987305, -0.5556641, -0.4631348, 0.2358398, -0.4814453, -0.3769531, -0.4003906, 0.3337402, 0.309082, -0.2927246, -0.6616211, 0.7709961, 0.8085938, -0.848877, -0.3884277, 0.4038086, -0.4621582, 1.056885, 1.07251, 1.111572]","[-0.4907227, -0.5949707, -1.630859, -0.4309082, -0.5725098, -0.6889648, -1.984375, -0.4990234, -0.5883789, -0.6791992, -0.604248, -0.486084, -0.4267578, -0.9143066, -1.984375, -0.3242188, -0.5600586, -0.7006836, -1.07666, -0.1115723, -0.0002441406, -0.03979492]","[-0.4638672, -0.6379395, -0.9379883, -0.7939453, -0.8190918, -0.6518555, -1.256104, -0.8144531, -0.7453613, -0.5932617, -1.0271, -0.9592285, -0.7888184, -0.1538086, 1.999939, -0.8649902, -0.8271484, -0.6535645, -1.405273, -0.1811523, -0.1203613, -0.006347656]"

47,"[0.1623535, -0.3808594, -0.4753418, -0.3796387, 0.1733398, 0.3537598, 0.4353027, -0.5546875, -0.6523438, -0.01293945, 0.8239746, 0.07885742, -0.4404297, 0.1311035, 0.4562988, -0.4545898, 0.2565918, 1.00708, 1.109375]","[-0.3664551, -1.491699, -0.4052734, -0.6176758, -0.7021484, -0.6813965, -0.5158691, -0.4641113, -0.5234375, -0.6606445, -1.19751, -1.984375, -0.5812988, -0.6843262, -0.654541, -0.4682617, -0.6157227, -0.1428223, -0.03930664]","[-0.748291, -1.222412, -1.088623, -0.8041992, -0.5693359, -0.5114746, -0.9633789, -0.8674316, -0.7839355, -0.6877441, -0.1481934, 1.249756, -0.9187012, -0.6520996, -0.873291, -0.769043, -0.4152832, -0.2111816, 0.0009765625]"

48,"[-0.2182617, -0.03222656, 0.8522949, -0.3039551, -0.5068359, 0.06176758, 0.5944824, 0.1606445, 0.07348633, 0.7148438, 0.1584473, -0.4572754, -0.03930664, -0.5102539, 0.1604004, -0.07373047, 0.01635742, 0.7858887, 1.199707, 1.196777]","[-0.4187012, -0.635498, -0.2131348, -0.479248, -0.5620117, -0.7236328, -0.9570313, -0.6364746, -0.7375488, -0.9870605, -0.9023438, -0.5454102, -0.7539063, -0.484375, -0.7634277, -0.5405273, -0.5131836, -0.4772949, -0.1662598, -0.04882813]","[-0.4714355, -0.7077637, -0.7990723, -0.9287109, -0.9111328, -0.6416016, -0.2678223, -0.8571777, -0.5620117, -0.1298828, -1.073975, -0.8996582, -0.6584473, -0.9211426, -0.4882813, -1.039307, -0.4987793, -0.5288086, -0.1000977, 0.08398438]"

49,"[0.3513184, -0.09985352, 0.3459473, 0.7404785, -0.2126465, 0.5603027, -0.3979492, -0.217041, 0.1884766, 0.9118652, 0.2866211, -0.5490723, -0.02856445, 0.3933105, -0.4748535, 0.4968262, 1.247314, 1.101318]","[-0.5019531, -0.6777344, -0.7023926, -0.9145508, -0.6550293, -1.27417, -0.5092773, -0.6518555, -0.7111816, -0.5808105, -0.6237793, -0.4995117, -0.6804199, -0.7160645, -1.615967, -0.4245605, -0.3374023, -0.03344727]","[-0.4909668, -0.744873, -0.5124512, -0.1943359, -0.7592773, -0.3212891, -0.8837891, -0.8415527, -0.5820313, -0.4958496, -0.8974609, -0.9318848, -0.701416, -0.5598145, -0.9995117, -0.9433594, -0.06298828, 0.001953125]"

